Feature,Importance,Weight
haaland_performance_rating,0.2517924072346423,0.2517924072346423
midfielders_opp,0.06626007425691306,0.06626007425691306
cumulative_haaland_min,0.053376504183910004,0.053376504183910004
rolling_expected goals,0.050218792255451505,0.050218792255451505
opponent_strength,0.04744457051879435,0.04744457051879435
cumulative_expected goals,0.044544390793690776,0.044544390793690776
cumulative_haaland_sca,0.04208876006404779,0.04208876006404779
cumulative_goals,0.04075138078930471,0.04075138078930471
cumulative_sca,0.037123510428450114,0.037123510428450114
rolling_haaland_min,0.0340778908006922,0.0340778908006922
cumulative_haaland_ast,0.030294324414831566,0.030294324414831566
cumulative_touches,0.026661253193890663,0.026661253193890663
rolling_haaland_touches,0.023986519998221944,0.023986519998221944
rolling_haaland_rating,0.019230586050128732,0.019230586050128732
rolling_touches,0.018504505227175446,0.018504505227175446
rolling_haaland_sca,0.018072262826676413,0.018072262826676413
cumulative_haaland_sh,0.017532897001855386,0.017532897001855386
rolling_shots,0.013978076173992198,0.013978076173992198
min,0.013730226966196945,0.013730226966196945
cumulative_haaland_poss,0.0134596980280542,0.0134596980280542
rolling_sca,0.013397113434386604,0.013397113434386604
cumulative_haaland_touches,0.013321806582296732,0.013321806582296732
cumulative_shots,0.011319826339080711,0.011319826339080711
cumulative_haaland_gca,0.01115985790317245,0.01115985790317245
rolling_haaland_sh,0.0104717577708863,0.0104717577708863
rolling_gca,0.009729727283848156,0.009729727283848156
cumulative_haaland_gls,0.007281735863993988,0.007281735863993988
midfielders,0.006855856179853254,0.006855856179853254
rolling_goals,0.0068216668287619095,0.0068216668287619095
cumulative_haaland_rating,0.005780271068520678,0.005780271068520678
cumulative_gca,0.005724399719944189,0.005724399719944189
defenders,0.005644311950698379,0.005644311950698379
rolling_haaland_gls,0.005483755788839054,0.005483755788839054
cumulative_poss,0.005266806174378484,0.005266806174378484
rolling_poss,0.004609185133466477,0.004609185133466477
forwards_opp,0.003643515969615037,0.003643515969615037
rolling_haaland_poss,0.003569048124406223,0.003569048124406223
defenders_opp,0.002866161022155515,0.002866161022155515
rolling_haaland_gca,0.002788760480349019,0.002788760480349019
forwards,0.000807726544461324,0.000807726544461324
rolling_haaland_ast,0.00032807862996523133,0.00032807862996523133
