Date,Opponent,Comp,Venue,Result,GF,GA,Goal_xG,Match_xG,Minute,Body Part,Assist,GoalContributionAction,ActionType,Goalkeeper,Notes,match_id
2024-05-14,Tottenham,Premier League,Away,W,2,0,0.79,2.4,90+1,Left Foot,,Jeremy Doku,Fouled,Guglielmo Vicario,,37
2024-05-14,Tottenham,Premier League,Away,W,2,0,0.93,2.4,51,Left Foot,Kevin De Bruyne,Kevin De Bruyne,Pass (Live),Guglielmo Vicario,,37
2024-05-04,Wolves,Premier League,Home,W,5,1,0.09,3.7,54,Left Foot,Phil Foden,Phil Foden,Pass (Live),José Sá,,35
2024-05-04,Wolves,Premier League,Home,W,5,1,0.79,3.7,45+3,Left Foot,,Erling Haaland,Fouled,José Sá,,35
2024-05-04,Wolves,Premier League,Home,W,5,1,0.08,3.7,35,Head,Rodri,Rodri,Pass (Live),José Sá,,35
2024-05-04,Wolves,Premier League,Home,W,5,1,0.79,3.7,12,Left Foot,,Joško Gvardiol,Fouled,José Sá,,35
2024-04-28,Nott'ham Forest,Premier League,Away,W,2,0,0.36,0.9,71,Right Foot,Kevin De Bruyne,Kevin De Bruyne,Pass (Live),Matz Sels,,34
2024-04-13,Luton Town,Premier League,Home,W,5,1,0.79,4.2,76,Left Foot,,Jeremy Doku,Fouled,Thomas Kaminski,,32
2024-04-06,Crystal Palace,Premier League,Away,W,4,2,0.28,1.9,66,Left Foot,Kevin De Bruyne,Kevin De Bruyne,Pass (Live),Dean Henderson,,31
2024-03-03,Manchester Utd,Premier League,Home,W,3,1,0.12,3.3,90+1,Left Foot,Rodri,Rodri,Tackle,André Onana,,27
2024-02-20,Brentford,Premier League,Home,W,1,0,0.32,2.3,71,Left Foot,Julián Álvarez,Julián Álvarez,Pass (Live),Mark Flekken,,25
2024-02-10,Everton,Premier League,Home,W,2,0,0.47,1.6,85,Left Foot,Kevin De Bruyne,Erling Haaland,Take-On,Jordan Pickford,,23
2024-02-10,Everton,Premier League,Home,W,2,0,0.03,1.6,71,Right Foot,Nathan Aké,Rúben Dias,Shot,Jordan Pickford,Volley,23
2023-11-25,Liverpool,Premier League,Home,D,1,1,0.26,1.3,27,Left Foot,Nathan Aké,Nathan Aké,Pass (Live),Alisson,,13
2023-11-12,Chelsea,Premier League,Away,D,4,4,0.87,2.9,47,Other,,Phil Foden,Pass (Live),Robert Sánchez,,12
2023-11-12,Chelsea,Premier League,Away,D,4,4,0.79,2.9,25,Left Foot,,Erling Haaland,Fouled,Robert Sánchez,,12
2023-10-29,Manchester Utd,Premier League,Away,W,3,0,0.29,4.0,49,Head,Bernardo Silva,Bernardo Silva,Pass (Live),André Onana,,10
2023-10-29,Manchester Utd,Premier League,Away,W,3,0,0.79,4.0,26,Left Foot,,Rodri,Fouled,André Onana,,10
2023-10-21,Brighton,Premier League,Home,W,2,1,0.07,0.8,19,Left Foot,,,,Jason Steele,,9
2023-09-23,Nott'ham Forest,Premier League,Home,W,2,0,0.14,1.3,14,Head,Matheus Nunes,Matheus Nunes,Pass (Live),Matt Turner,,6
2023-09-16,West Ham,Premier League,Away,W,3,1,0.08,3.6,86,Left Foot,Bernardo Silva,Bernardo Silva,Pass (Live),Alphonse Areola,,5
2023-09-02,Fulham,Premier League,Home,W,5,1,0.19,2.2,90+5,Left Foot,Sergio Gómez,Sergio Gómez,Pass (Live),Bernd Leno,,4
2023-09-02,Fulham,Premier League,Home,W,5,1,0.79,2.2,70,Left Foot,,Julián Álvarez,Fouled,Bernd Leno,,4
2023-09-02,Fulham,Premier League,Home,W,5,1,0.53,2.2,58,Left Foot,,Rodri,Pass (Live),Bernd Leno,,4
2023-08-27,Sheffield Utd,Premier League,Away,W,2,1,0.21,3.5,63,Head,Jack Grealish,Jack Grealish,Pass (Live),Wes Foderingham,,3
2023-08-11,Burnley,Premier League,Away,W,3,0,0.14,1.9,36,Left Foot,Julián Álvarez,Julián Álvarez,Pass (Live),James Trafford,,1
2023-08-11,Burnley,Premier League,Away,W,3,0,0.17,1.9,4,Left Foot,Rodri,Rodri,Pass (Live),James Trafford,Volley,1
