Opponent,Gls,Ast,Player_xG,npxG,PassCmp,PassAttm,PrgPass,TakeonsAtt,TakeonsSucc,GF,GA
Arsenal,0,0,0.3,0.3,18,27,1,1,1,0,1
Aston Villa,0,0,0.6,0.6,7,10,0,1,0,4,2
Bournemouth,0,0,0.8,0.8,23,30,2,2,1,7,1
Brentford,1,1,1.6,1.6,27,33,4,1,1,4,1
Brighton,1,0,0.3,0.3,11,12,1,0,0,6,1
Burnley,2,0,0.8,0.8,12,15,1,0,0,6,1
Chelsea,2,1,3.6,2.8,19,24,1,1,0,5,5
Crystal Palace,1,0,0.6,0.6,13,16,0,3,1,6,4
Everton,2,0,0.7,0.7,12,13,1,3,2,5,1
Fulham,3,1,2.2,1.4,12,16,3,1,0,9,1
Liverpool,1,0,0.7999999999999999,0.7999999999999999,19,25,2,3,1,2,2
Luton Town,1,0,1.8,1.0,12,15,0,0,0,7,2
Manchester Utd,3,1,3.6,2.8,12,17,1,2,0,6,1
Newcastle Utd,0,0,0.4,0.4,6,11,1,1,0,4,2
Nott'ham Forest,2,0,1.1,1.1,20,27,0,3,1,4,0
Sheffield Utd,1,0,2.1,1.3,6,11,0,1,1,4,1
Tottenham,2,1,2.4,1.6,24,29,4,3,2,5,3
West Ham,1,0,3.2,3.2,22,30,1,1,0,6,2
Wolves,4,0,2.2,0.6,20,27,3,3,1,6,3
